Time (UTC-07:00);Side;Action;Amount, UNI;Price;Status
27.12.2025 23:33:51;Sell;GRID order;2.77;7.216;Open
27.12.2025 22:44:34;Sell;GRID order;2.79;7.146;Open
27.12.2025 21:18:17;Sell;GRID order;2.86;7.076;Open
27.12.2025 21:08:23;Sell;GRID order;3.08;7.006;Open
27.12.2025 18:24:39;Sell;GRID order;3.59;6.937;Open
27.12.2025 16:03:29;Sell;GRID order;4.4;6.868;Open
25.12.2025 08:43:52;Sell;GRID order;2.94;6.8;Open
21.12.2025 11:06:30;Sell;GRID order;2.97;6.733;Open
21.12.2025 11:06:30;Sell;GRID order;3;6.666;Open
21.12.2025 11:06:30;Sell;GRID order;3.03;6.6;Open
28.12.2025 08:30:22;Sell;GRID order;3.12;6.535;Open
28.12.2025 09:31:55;Sell;GRID order;3.83;6.47;Open
29.12.2025 02:45:45;Sell;GRID order;4.99;6.406;Open
31.12.2025 03:38:23;Sell;GRID order;5.65;6.343;Open
31.12.2025 09:42:56;Sell;GRID order;6.39;6.28;Open
28.12.2025 08:32:36;Buy;DCA order;3.62;5.573;Open
28.12.2025 09:24:46;Buy;DCA order;3.55;5.518;Open
28.12.2025 09:31:53;Buy;DCA order;3.48;5.463;Open
28.12.2025 11:13:09;Buy;DCA order;3.51;5.409;Open
28.12.2025 11:13:34;Buy;DCA order;3.58;5.356;Open
28.12.2025 12:29:13;Buy;DCA order;3.44;5.303;Open
29.12.2025 02:09:17;Buy;DCA order;3.41;5.25;Open
29.12.2025 02:45:45;Buy;DCA order;3.38;5.198;Open
29.12.2025 11:25:40;Buy;DCA order;3.34;5.146;Open
29.12.2025 23:48:52;Buy;DCA order;3.31;5.095;Open
31.12.2025 03:38:23;Buy;DCA order;3.28;5.044;Open
31.12.2025 09:34:35;Buy;DCA order;3.77;4.994;Open
31.12.2025 09:42:51;Buy;DCA order;3.73;4.944;Open
31.12.2025 09:42:56;Buy;DCA order;3.69;4.895;Open
31.12.2025 16:41:14;Buy;DCA order;3.66;4.846;Open
