Time (UTC-07:00);Side;Action;Amount, UNI;Price;Fee;Profit, USDC;Bot profit, USDC
31.12.2025 16:41:13;Buy;DCA order;3.66;5.629;-0.12361284 USDC;0;8.30668553
31.12.2025 09:42:50;Buy;DCA order;3.69;5.685;-0.1258659 USDC;0;8.43029837
31.12.2025 09:42:43;Buy;DCA order;3.73;5.742;-0.12850596 USDC;0;8.55616427
31.12.2025 09:34:34;Buy;DCA order;3.77;5.799;-0.13117338 USDC;0;8.68467023
31.12.2025 03:38:21;Buy;DCA order;3.28;5.857;-0.11526576 USDC;0;8.81584361
29.12.2025 23:48:50;Buy;DCA order;3.31;5.916;-0.11749176 USDC;0;8.93110937
29.12.2025 11:25:38;Buy;DCA order;3.34;5.975;-0.119739 USDC;0;9.04860113
29.12.2025 02:45:43;Buy;DCA order;3.38;6.035;-0.1223898 USDC;0;9.16834013
29.12.2025 02:09:16;Buy;DCA order;3.41;6.095;-0.1247037 USDC;0;9.29072993
28.12.2025 12:29:12;Buy;DCA order;3.44;6.156;-0.12705984 USDC;0;9.41543363
28.12.2025 11:13:32;Buy;DCA order;3.58;6.218;-0.13356264 USDC;0;9.54249347
28.12.2025 11:13:08;Buy;DCA order;3.51;6.28;-0.1322568 USDC;0;9.67605611
28.12.2025 09:31:52;Buy;DCA order;3.48;6.343;-0.13244184 USDC;0;9.80831291
28.12.2025 09:24:45;Buy;DCA order;3.55;6.406;-0.1364478 USDC;0;9.94075475
28.12.2025 08:32:34;Buy;DCA order;3.62;6.47;-0.1405284 USDC;0;10.07720255
28.12.2025 08:27:53;Sell;GRID order;3.06;6.535;-0.1199826 USDC;0.181;10.21773095
28.12.2025 08:21:39;Buy;DCA order;3.62;6.47;-0.1405284 USDC;0;10.15580628
28.12.2025 08:21:13;Buy;Base order;46.32;6.476;-3.59961984 USDC;-0.007;10.29633468
28.12.2025 08:21:07;Sell;GRID order;3.09;6.47;-0.1199538 USDC;0.975;13.90393452
28.12.2025 08:04:29;Sell;GRID order;3.12;6.406;-0.11992032 USDC;1.528;13.04875206
28.12.2025 07:46:51;Sell;GRID order;3.12;6.406;-0.11992032 USDC;1.528;11.63970176
28.12.2025 06:54:52;Sell;GRID order;3.15;6.343;-0.1198827 USDC;1.345;10.23065145
